video_path,relative_path,category,binary_label,binary_class,ethnicity,gender,identity,filename,split
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id05252\00052.mp4,RealVideo-RealAudio\African\women\id05252\00052.mp4,RealVideo-RealAudio,0,real,African,women,id05252,00052.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\men\id01099\00206_id00554_crjq1dFN1Ko_id01123_wavtolip.mp4,FakeVideo-FakeAudio\Caucasian (European)\men\id01099\00206_id00554_crjq1dFN1Ko_id01123_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,Caucasian (European),men,id01099,00206_id00554_crjq1dFN1Ko_id01123_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\African\men\id01597\00005_fake.mp4,RealVideo-FakeAudio\African\men\id01597\00005_fake.mp4,RealVideo-FakeAudio,1,fake,African,men,id01597,00005_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (South)\women\id00080\00281_id03815_wavtolip.mp4,FakeVideo-RealAudio\Asian (South)\women\id00080\00281_id03815_wavtolip.mp4,FakeVideo-RealAudio,1,fake,Asian (South),women,id00080,00281_id03815_wavtolip.mp4,test
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Asian (South)\women\id07008\00175_fake.mp4,RealVideo-FakeAudio\Asian (South)\women\id07008\00175_fake.mp4,RealVideo-FakeAudio,1,fake,Asian (South),women,id07008,00175_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Caucasian (American)\men\id00052\00015_fake.mp4,RealVideo-FakeAudio\Caucasian (American)\men\id00052\00015_fake.mp4,RealVideo-FakeAudio,1,fake,Caucasian (American),men,id00052,00015_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (South)\men\id04554\00118_id03945_wavtolip.mp4,FakeVideo-RealAudio\Asian (South)\men\id04554\00118_id03945_wavtolip.mp4,FakeVideo-RealAudio,1,fake,Asian (South),men,id04554,00118_id03945_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04689\00005.mp4,RealVideo-RealAudio\African\women\id04689\00005.mp4,RealVideo-RealAudio,0,real,African,women,id04689,00005.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (American)\women\id00383\00171_id01217_7lVC4xEK_6E_faceswap_id01227_wavtolip.mp4,FakeVideo-FakeAudio\Caucasian (American)\women\id00383\00171_id01217_7lVC4xEK_6E_faceswap_id01227_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,Caucasian (American),women,id00383,00171_id01217_7lVC4xEK_6E_faceswap_id01227_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Caucasian (European)\women\id00325\00015_fake.mp4,RealVideo-FakeAudio\Caucasian (European)\women\id00325\00015_fake.mp4,RealVideo-FakeAudio,1,fake,Caucasian (European),women,id00325,00015_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\women\id00496\00015_id00373_5NXv3Dxkd6E_id00806_wavtolip.mp4,FakeVideo-FakeAudio\Caucasian (European)\women\id00496\00015_id00373_5NXv3Dxkd6E_id00806_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,Caucasian (European),women,id00496,00015_id00373_5NXv3Dxkd6E_id00806_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Caucasian (American)\women\id03605\00048_fake.mp4,RealVideo-FakeAudio\Caucasian (American)\women\id03605\00048_fake.mp4,RealVideo-FakeAudio,1,fake,Caucasian (American),women,id03605,00048_fake.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-FakeAudio\Asian (East)\men\id03168\03168_fake.mp4,RealVideo-FakeAudio\Asian (East)\men\id03168\03168_fake.mp4,RealVideo-FakeAudio,1,fake,Asian (East),men,id03168,03168_fake.mp4,test
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (American)\men\id00184\00241_id03757_wavtolip.mp4,FakeVideo-RealAudio\Caucasian (American)\men\id00184\00241_id03757_wavtolip.mp4,FakeVideo-RealAudio,1,fake,Caucasian (American),men,id00184,00241_id03757_wavtolip.mp4,test
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\women\id02808\00056_id00829_wavtolip.mp4,FakeVideo-FakeAudio\African\women\id02808\00056_id00829_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,African,women,id02808,00056_id00829_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (South)\women\id06439\00118_id00417_GhIZam3v09g_faceswap_id03815_wavtolip.mp4,FakeVideo-FakeAudio\Asian (South)\women\id06439\00118_id00417_GhIZam3v09g_faceswap_id03815_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,Asian (South),women,id06439,00118_id00417_GhIZam3v09g_faceswap_id03815_wavtolip.mp4,test
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\African\men\id01207\00320_id00391_wavtolip.mp4,FakeVideo-RealAudio\African\men\id01207\00320_id00391_wavtolip.mp4,FakeVideo-RealAudio,1,fake,African,men,id01207,00320_id00391_wavtolip.mp4,test
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-FakeAudio\African\men\id01521\00109_id01972_hBYoeQTm8ZQ_id00076_wavtolip.mp4,FakeVideo-FakeAudio\African\men\id01521\00109_id01972_hBYoeQTm8ZQ_id00076_wavtolip.mp4,FakeVideo-FakeAudio,1,fake,African,men,id01521,00109_id01972_hBYoeQTm8ZQ_id00076_wavtolip.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01452\00001.mp4,RealVideo-RealAudio\African\men\id01452\00001.mp4,RealVideo-RealAudio,0,real,African,men,id01452,00001.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00391\00052.mp4,RealVideo-RealAudio\African\men\id00391\00052.mp4,RealVideo-RealAudio,0,real,African,men,id00391,00052.mp4,train
D:\SyncGuard\data\raw\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (American)\men\id00696\00005_id01201_wavtolip.mp4,FakeVideo-RealAudio\Caucasian (American)\men\id00696\00005_id01201_wavtolip.mp4,FakeVideo-RealAudio,1,fake,Caucasian (American),men,id00696,00005_id01201_wavtolip.mp4,train
